代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11465552.5399999972
真實報酬,1465552.5399999972
趨勢值,0.4440837666

選擇檔數,8
找到最佳解世代,1805
找到最佳解實驗,1
Stock#,AAPL,CSCO,HD,MRK,MSFT,PFE,WBA,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,6678,29198,6442,20674,12498,34406,20448,15288,
剩餘資金,11.9600000000,33.6199999999,123.1599999999,49.9600000000,75.0199999999,30.0200000001,13.7599999999,53.1199999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1228229.7200000000,1245912.2800000000,1247423.2000000000,1255168.5000000000,1238001.9199999999,1250688.1200000001,1242434.2400000000,1257338.2399999998,9965196.2199999988,
FS(3),1238113.1599999999,1242700.5000000000,1252512.3799999999,1274395.3200000001,1246875.5000000000,1268579.2400000000,1275560.0000000000,1258408.3999999999,10057144.4999999981,
FS(4),1255275.6199999999,1247080.2000000000,1252963.3199999998,1285972.7600000000,1264372.7000000000,1276836.6799999999,1294372.1599999999,1258714.1599999999,10135587.5999999978,
FS(5),1272705.2000000000,1245912.2800000000,1263270.5200000000,1282251.4399999999,1272996.3199999998,1278556.9800000000,1303164.8000000000,1267428.3200000001,10186285.8599999975,
FS(6),1271169.2600000000,1251459.8999999999,1273126.7800000000,1288040.1599999999,1276370.7800000000,1287846.6000000001,1292327.3600000001,1279047.1999999997,10219388.0399999991,
FS(7),1254674.5999999999,1242992.4800000000,1268875.0599999998,1279770.5599999998,1274621.0600000001,1280277.2800000000,1301733.4399999999,1262689.0400000000,10165633.5199999996,
FS(8),1275710.3000000000,1272482.4599999997,1275317.0599999998,1295482.7999999998,1302241.6399999999,1290943.1400000001,1306232.0000000000,1264217.8399999999,10282627.2400000002,
FS(9),1277713.7000000000,1219926.0599999998,1280084.1399999999,1300237.8200000001,1317739.1600000001,1291287.2000000000,1332609.9200000002,1273696.3999999999,10293294.3999999985,
FS(10),1274908.9399999999,1240948.6199999999,1281308.1199999999,1294035.6200000001,1311240.2000000000,1286126.3000000000,1332405.4399999999,1261160.2399999998,10282133.4799999986,
FS(11),1278515.0599999998,1236276.9399999999,1295609.3599999999,1292795.1799999999,1324238.1200000001,1295415.9199999999,1342016.0000000000,1258408.3999999999,10323274.9799999986,
FS(12),1271503.1599999999,1232481.2000000000,1294771.8999999999,1301271.5200000000,1313864.7800000000,1295759.9800000000,1352853.4399999999,1257032.4799999997,10319538.4599999990,
FS(13),1281386.5999999999,1238028.8199999998,1305465.6199999999,1292381.7000000000,1304866.2200000002,1285438.1799999999,1327702.4000000001,1253822.0000000000,10289091.5400000010,
FS(14),1278448.2800000000,1226641.5999999999,1304306.0599999998,1292588.4399999999,1328237.4800000000,1284406.0000000000,1328724.8000000000,1244496.3200000001,10287848.9799999986,
FS(15),1278448.2800000000,1228101.5000000000,1302888.8199999998,1296103.0200000000,1349484.0800000001,1280277.2800000000,1336086.0800000001,1244496.3200000001,10315885.3799999971,
FS(16),1288865.9600000000,1237736.8399999999,1301342.7400000000,1311195.0400000000,1345609.7000000000,1297136.2200000002,1339562.2400000002,1269110.0000000000,10390558.7400000002,
FS(17),1301019.9199999999,1260219.2999999998,1294965.1599999999,1333316.2200000000,1385228.3600000001,1307113.9600000002,1363895.3600000001,1277977.0400000000,10523735.3199999984,
FS(18),1296946.3400000001,1271022.5599999998,1284657.9600000000,1323392.7000000000,1370105.7800000000,1312962.9800000000,1381071.6800000002,1287914.2399999998,10528074.2399999984,
FS(19),1275376.3999999999,1242992.4800000000,1270099.0399999998,1312642.2200000000,1345859.6600000001,1321564.4800000000,1403564.4800000000,1252446.0799999998,10424544.8399999999,
FS(20),1268230.9399999999,1231313.2800000000,1271000.9199999999,1339931.8999999999,1316989.2800000000,1327757.5600000001,1414197.4399999999,1249694.2399999998,10419115.5599999987,
FS(21),1270768.5799999998,1234817.0399999998,1272547.0000000000,1361846.3400000001,1325862.8600000001,1373861.6000000001,1382707.5200000000,1246178.0000000000,10468588.9399999995,
FS(22),1345628.9600000000,1222261.8999999999,1264687.7600000000,1353990.2200000000,1328362.4600000000,1385559.6400000001,1358578.8799999999,1229055.4399999999,10488125.2599999998,
FS(23),1384962.3799999999,1241824.5599999998,1260564.8799999999,1348408.2400000000,1344484.8799999999,1364227.9199999999,1369620.8000000000,1221717.1999999997,10535810.8600000013,
FS(24),1388969.1799999999,1250583.9599999997,1260436.0399999998,1363086.7800000000,1350358.9400000002,1394849.2600000000,1374528.3200000001,1226150.7200000000,10608963.1999999993,
FS(25),1396181.4199999999,1264307.0199999998,1260758.1399999999,1369082.2400000000,1351483.7600000000,1412052.2600000000,1378617.9200000002,1225844.9600000000,10658327.7199999988,
FS(26),1383092.5400000000,1272482.4599999997,1269519.2600000000,1376524.8799999999,1360857.2600000000,1405171.0600000001,1371052.1599999999,1242508.8799999999,10681208.5000000000,
FS(27),1384027.4600000000,1280073.9399999999,1275768.0000000000,1378799.0200000000,1368481.0400000000,1424782.4800000000,1359601.2799999998,1234253.3599999999,10705786.5799999982,
FS(28),1394912.5999999999,1278322.0599999998,1276154.5200000000,1364533.9600000000,1370730.6799999999,1410676.0200000000,1353057.9200000002,1227985.2799999998,10676373.0399999991,
FS(29),1385897.3000000000,1278322.0599999998,1264687.7600000000,1365981.1399999999,1362357.0200000000,1408267.6000000001,1359601.2799999998,1214226.0799999998,10639340.2400000002,
FS(30),1394845.8200000001,1277446.1199999999,1250773.0399999998,1379419.2400000000,1352483.5999999999,1404138.8800000001,1359396.8000000000,1201078.3999999999,10619581.9000000004,
FS(31),1400722.4600000000,1284745.6199999999,1244073.3599999999,1374043.9999999998,1369355.9000000001,1400698.2800000000,1403973.4399999999,1197256.3999999999,10674869.4599999990,
FS(32),1403994.6799999999,1280657.8999999999,1249806.7400000000,1392857.3400000001,1345609.7000000000,1416180.9800000000,1405404.8000000000,1176311.8399999999,10670823.9800000004,
FS(33),1424562.9199999999,1318615.2999999998,1258825.5399999998,1423454.8599999999,1345359.7400000000,1425126.5400000000,1423603.5200000000,1192517.1199999999,10812065.5399999991,
FS(34),1453011.2000000000,1339345.8799999999,1259920.6799999999,1427796.3999999999,1344609.8600000001,1448178.5600000001,1431169.2799999998,1196492.0000000000,10900523.8599999994,
FS(35),1438853.8400000001,1349565.1799999999,1275188.2200000000,1450744.5400000000,1335736.2800000000,1456436.0000000000,1431169.2799999998,1204900.3999999999,10942593.7399999984,
FS(36),1436049.0799999998,1336718.0599999998,1290004.8199999998,1430070.5400000000,1324613.0600000001,1450586.9800000000,1436485.7600000000,1205206.1599999999,10909734.4599999990,
FS(37),1436115.8600000001,1342849.6399999999,1281887.8999999999,1427382.9200000002,1338110.9000000001,1447490.4399999999,1424012.4800000000,1222481.5999999999,10920331.7400000002,
FS(38),1439054.1799999999,1343725.5800000001,1289553.8799999999,1425935.7400000000,1344359.9000000001,1451963.2200000002,1416651.2000000000,1209028.1599999999,10920271.8599999994,
FS(39),1443528.4399999999,1352484.9800000000,1296897.7600000000,1427382.9200000002,1354858.2200000002,1458844.4199999999,1415219.8399999999,1217283.6799999999,10966500.2599999998,
FS(40),1455415.2800000000,1360368.4399999999,1301278.3199999998,1426349.2200000000,1369855.8199999998,1430631.5000000000,1419922.8799999999,1229208.3200000001,10993029.7799999975,
FS(41),1467168.5599999998,1370879.7200000000,1301213.8999999999,1418906.5799999998,1378104.5000000000,1427879.0200000000,1416651.2000000000,1227373.7600000000,11008177.2400000002,
FS(42),1489072.3999999999,1386354.6599999997,1299345.7200000000,1422627.8999999999,1400100.9800000000,1427879.0200000000,1403973.4399999999,1236240.7999999998,11065594.9199999999,
FS(43),1502762.3000000000,1376719.3199999998,1283756.0799999998,1417045.9200000002,1399226.1200000001,1427879.0200000000,1386388.1599999999,1230890.0000000000,11024666.9199999999,
FS(44),1520125.0999999999,1394822.0800000001,1293483.5000000000,1418079.6200000001,1403975.3600000001,1428567.1400000001,1401928.6400000001,1225692.0799999998,11086673.5200000014,
FS(45),1525000.0400000000,1393654.1599999997,1321248.5200000000,1404848.2600000000,1396226.5999999999,1423406.2400000000,1382707.5200000000,1227526.6399999999,11074617.9799999986,
FS(46),1515049.8200000001,1380223.0800000001,1315257.4600000000,1418699.8400000001,1355983.0400000000,1439921.1200000001,1395385.2799999998,1243884.7999999998,11064404.4399999976,
FS(47),1489873.7600000000,1380515.0599999998,1326466.5399999998,1434412.0799999998,1359107.5400000000,1437512.7000000000,1391091.2000000000,1230125.5999999999,11049104.4799999986,
FS(48),1477853.3600000001,1373799.5199999998,1328656.8199999998,1440407.5400000000,1352483.5999999999,1451963.2200000002,1394362.8799999999,1251070.1599999999,11070597.0999999978,
FS(49),1458019.7000000000,1374383.4800000000,1357388.1399999999,1438133.3999999999,1367106.2600000000,1447146.3800000001,1406836.1599999999,1249235.5999999999,11098249.1200000010,
FS(50),1494882.2600000000,1373215.5599999998,1377744.8599999999,1428209.8799999999,1390352.5400000000,1455747.8800000001,1405609.2799999998,1266816.7999999998,11192579.0599999987,
FS(51),1476317.4199999999,1369127.8399999999,1365698.3199999998,1444335.5999999999,1396226.5999999999,1459188.4800000000,1439144.0000000000,1270944.5599999998,11220982.8199999984,
FS(52),1511977.9399999999,1379347.1399999999,1349400.0599999998,1464389.3799999999,1411224.2000000000,1474327.1200000001,1441188.8000000000,1258561.2799999998,11290415.9199999999,
FS(53),1494815.4800000000,1384018.8199999998,1346952.0999999999,1446816.4800000000,1416973.2800000000,1478111.7800000000,1437099.2000000000,1267734.0799999998,11272521.2200000007,
FS(54),1455014.5999999999,1375551.3999999999,1342635.9600000000,1455913.0400000000,1401600.7400000000,1479832.0799999998,1440575.3600000001,1275225.1999999997,11226348.3799999990,
FS(55),1457418.6799999999,1385770.7000000000,1359514.0000000000,1455913.0400000000,1414973.5999999999,1497035.0799999998,1449368.0000000000,1278588.5599999998,11298581.6599999983,
FS(56),1458286.8200000001,1380515.0599999998,1363765.7200000000,1446816.4800000000,1396101.6200000001,1488433.5799999998,1457547.2000000000,1293876.5599999998,11285343.0399999991,
FS(57),1469372.3000000000,1393654.1599999997,1359771.6799999999,1463355.6799999999,1419472.8799999999,1505292.5200000000,1490468.4800000000,1296781.2799999998,11398168.9800000004,
FS(58),1453545.4399999999,1417888.5000000000,1368339.5399999998,1469971.3599999999,1428096.5000000000,1515958.3800000001,1492717.7600000000,1302132.0799999998,11448649.5600000005,
FS(59),1474447.5799999998,1414384.7399999998,1339994.7400000000,1463355.6799999999,1433220.6799999999,1511485.6000000001,1476359.3600000001,1323993.9199999997,11437242.2999999989,
FS(60),1483796.7800000000,1415260.6799999999,1336580.4800000000,1460668.0600000001,1430471.1200000001,1506668.7600000000,1476563.8399999999,1322465.1199999999,11432474.8399999999,
FS(61),1471976.7200000000,1413508.7999999998,1336967.0000000000,1454052.3799999999,1424597.0600000001,1502884.1000000001,1491899.8399999999,1311457.7600000000,11407343.6600000001,
FS(62),1502228.0599999998,1411172.9599999997,1332586.4399999999,1462115.2400000000,1429971.2000000000,1510453.4199999999,1509280.6400000001,1311304.8799999999,11469112.8399999999,
FS(63),1507503.6799999999,1420516.3199999998,1334583.4600000000,1466663.5200000000,1429471.2800000000,1516302.4399999999,1490672.9600000002,1299838.8799999999,11465552.5399999972,
